,Stock Name,Symbol
130,Ambujacements,AMBUJACEM.NS
131,Hyundaimotorindia,HYUNDAI.NS
132,Bajajholdingsinvestment,BAJAJHLDNG.NS
133,Ltimindtree,LTIM.NS
134,Tvsmotorcompany,TVSMOTOR.NS
135,Shriramfinance,SHRIRAMFIN.NS
136,Macrotechdevelopers,LODHA.NS
137,Britanniaindustries,BRITANNIA.NS
138,Bharatpetroleumcorporations,BPCL.NS
139,Bankofbaroda,BANKBARODA.NS
140,Godrejconsumerproducts,GODREJCP.NS
141,Tatapowercompany,TATAPOWER.NS
142,Ciplaltd,CIPLA.NS
143,Abbindia,ABBOTINDIA.BO
144,Punjabnationalbank,PNB.NS
